Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
ASI,Finance,Specialty Insurers,38.35,3.41,0.521,N/A,0.57,0.69,11.40M,9.88M,197.50M,15.75 - 21.76,"
</"
ASP,Finance,Closed-End Fund - Debt,7.98,N/A,1.464,10.06,0.9,10.73,N/A,4.23M,49.30M,11.10 - 12.48,"
</"
ASR,Transportation,Aerospace,25.02,5.32,4.773,2.31,2.91,8.92,222.40M,30.00M,3.62B,65.57 - 122.83,"
</"
ASX,Technology,Semiconductors,13.76,0.69,0.29,2.38,1.58,0.89,1.40B,1.49B,6.07B,3.44 - 5.22,"
</"
AT,Energy,Electric Utilities: Central,N/A,N/A,N/A,8.57,1.77,2.4,156.80M,119.36M,1.39B,10.72 - 15.22,"
</"
ATE,Technology,Semiconductors,50.94,N/A,0.265,N/A,1.37,1.29,207.00M,173.56M,2.35B,10.80 - 17.25,"
</"
ATI,Basic Industries,Steel/Iron Ore,22.12,1.36,1.431,2.27,1.37,0.68,509.40M,107.40M,3.56B,25.35 - 49.00,"
</"
ATK,Capital Goods,Military/Government/Technical,8.59,N/A,7.531,1.33,1.54,0.46,576.20M,32.67M,2.10B,43.08 - 67.78,"
</"
ATLS,Public Utilities,Natural Gas Distribution,N/A,N/A,N/A,8.2,4.29,1.34,180.40M,51.36M,1.98B,24.01 - 39.35,"
</"
ATO,Public Utilities,Oil/Gas Transmission,15.78,2.56,2.368,3.71,1.43,0.98,698.10M,90.23M,3.40B,30.39 - 37.69,"
</"
ATR,Consumer Non-Durables,Plastic Products,21.22,2.66,2.428,1.77,2.48,1.49,405.70M,66.42M,3.47B,45.19 - 55.49,"
</"
ATU,Technology,Industrial Machinery/Components,25.48,0.92,1.157,0.14,1.95,1.35,285.50M,72.95M,2.19B,24.23 - 31.33,"
</"
ATV,Consumer Services,Other Specialty Stores,N/A,N/A,N/A,N/A,0.41,0.29,N/A,30.00M,79.20M,2.20 - 4.59,"
</"
ATW,Energy,Oil & Gas Production,12.45,0.54,4.24,N/A,1.72,4.08,413.70M,65.64M,3.52B,34.93 - 53.97,"
</"
AU,Basic Industries,Precious Metals,1012.65,1.34,0.0277,2,190.81,183.12,2.28B,38.67B,"1,133.00B",27.02 - 46.77,"
</"
AU-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.13 - 51.84,"
</"
AUO,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.63,0.28,949.90M,880.10M,3.45B,2.70 - 5.98,"
</"
AUQ,,,19.64,3.82,0.359,N/A,0.86,4.44,248.10M,282.27M,1.99B,5.25 - 10.36,"
</"
AUY,Basic Industries,Precious Metals,34.06,1.79,0.48,1.47,1.6,5.4,1.23B,751.48M,12.41B,12.68 - 20.59,"
</"
AV,Finance,Life Insurance,N/A,N/A,N/A,6.99,0.81,0.27,3.04B,1.44B,16.76B,7.78 - 12.63,"
</"
AVA,Public Utilities,Power Generation,17.56,4.19,1.473,4.49,1.23,0.98,341.50M,59.75M,1.56B,22.78 - 28.05,"
</"
AVB,Consumer Services,Real Estate Investment Trusts,19.92,1.4,6.517,2.99,2.69,12.02,644.80M,97.71M,12.32B,126.12 - 151.23,"
</"
AVD,Basic Industries,Agricultural Chemicals,30.24,0.87,1.121,0.35,4.42,2.74,68.10M,28.06M,952.00M,15.10 - 37.51,"
</"
AVF,Finance,Property-Casualty Insurers,1.78,N/A,14.526,7.43,0.38,0.54,24.79B,1.48B,38.22B,24.08 - 26.37,"
</"
AVG,,,17.3,N/A,0.792,N/A,N/A,2.21,98.70M,54.02M,709.80M,9.42 - 16.39,"
</"
AVK,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.59,N/A,N/A,N/A,N/A,N/A,14.64 - 17.34,"
</"
AVP,Consumer Non-Durables,Package Goods/Cosmetics,63.36,N/A,0.268,4.42,5.06,0.68,937.90M,432.19M,7.41B,13.70 - 23.58,"
</"
AVT,Consumer Non-Durables,Electronic Components,9.81,2.63,3.605,N/A,1.17,0.19,941.70M,136.98M,4.93B,25.41 - 37.03,"
</"
AVV,,,N/A,N/A,N/A,7.49,3.92,1.31,3.04B,2.88B,81.76B,24.84 - 28.85,"
</"
AVX,Capital Goods,Electrical Products,N/A,1.55,N/A,2.63,0.97,1.36,206.50M,169.02M,1.94B,9.11 - 13.77,"
</"
AVY,Consumer Durables,Containers/Packaging,18.54,1.24,2.077,2.8,2.47,0.65,618.30M,101.19M,3.92B,26.18 - 40.00,"
</"
AWC,Capital Goods,Metal Fabrications,63.06,N/A,0.072,2.64,1.05,13844.3,N/A,609.79M,2.87B,2.65 - 5.94,"
</"
AWF,Finance,Closed-End Fund - Debt,5.56,N/A,3.002,8.05,1.09,12.52,N/A,85.80M,1.44B,14.02 - 16.92,"
</"
AWH,Finance,Property-Casualty Insurers,4.48,1.23,18.922,1.77,0.87,1.38,505.30M,35.24M,3.02B,63.04 - 85.01,"
</"
AWI,Consumer Non-Durables,Plastic Products,24.97,1.45,2.202,15.55,4.19,1.17,332.50M,58.82M,3.22B,38.08 - 59.78,"
</"
AWK,Public Utilities,Water Supply,18.47,2.1,2.072,2.56,1.52,2.39,1.31B,176.75M,6.79B,32.75 - 39.38,"
</"
AWP,,,N/A,N/A,N/A,7.77,N/A,N/A,N/A,N/A,N/A,5.88 - 7.74,"
</"
AWR,Public Utilities,Water Supply,19.05,4.81,2.653,2.51,2.16,2.16,146.10M,19.22M,988.70M,34.90 - 51.48,"
</"
AXE,Consumer Non-Durables,Telecommunications Equipment,18.2,0.7,3.696,6.69,2.25,0.35,363.30M,32.50M,2.21B,47.98 - 74.00,"
</"
AXL,Capital Goods,Auto Parts:O.E.M.,11.23,0.89,1.04,N/A,N/A,0.31,373.90M,74.84M,904.10M,7.93 - 13.08,"
</"
AXLL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AXP,Finance,Finance: Consumer Services,15.12,1.14,3.89,1.36,3.42,2.2,N/A,1.11B,66.20B,51.36 - 61.97,"
</"
AXR,Finance,Real Estate,N/A,N/A,N/A,N/A,0.8,0.73,1.60M,5.99M,59.40M,4.80 - 15.77,"
</"
AXS,Finance,Property-Casualty Insurers,8.45,1.8,4.527,2.53,0.84,1.2,770.80M,122.23M,4.78B,30.60 - 38.80,"
</"
AXS-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.91 - 26.89,"
</"
AXS-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AYI,Consumer Durables,Building Products,26.16,1.94,2.63,0.76,3.32,1.48,261.00M,41.80M,2.91B,48.11 - 71.59,"
</"
AYN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.03,N/A,N/A,N/A,N/A,N/A,14.22 - 16.08,"
</"
AYR,Technology,Diversified Commercial Services,25.75,N/A,0.536,4.46,0.69,1.45,596.30M,69.75M,961.10M,10.77 - 14.55,"
</"
AZN,Consumer Durables,Major Pharmaceuticals,9.86,N/A,4.884,5.92,2.72,2.04,11.41B,1.25B,60.28B,39.72 - 50.14,"
</"
AZO,Consumer Services,Other Specialty Stores,15.22,0.9,24.288,N/A,N/A,1.55,1.87B,36.33M,13.62B,341.98 - 399.10,"
</"
AZZ,Consumer Durables,Building Products,18.56,0.97,2.305,1.24,3.32,1.96,125.10M,25.38M,1.11B,23.33 - 44.14,"
</"
B,Capital Goods,Metal Fabrications,20.12,0.96,1.188,1.67,1.65,1.09,183.30M,54.13M,1.31B,19.71 - 28.63,"
</"
BA,Capital Goods,Aerospace,14.47,1.31,5.106,2.38,9.51,0.68,7.85B,755.63M,56.57B,66.82 - 78.02,"
</"
BAC,Finance,Major Banks,45.28,0.63,0.25,0.35,0.56,1.62,N/A,10.78B,126.20B,6.72 - 12.20,"
</"
BAC-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.01 - 25.39,"
</"
BAC-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.06 - 23.91,"
</"
BAC-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.57 - 26.15,"
</"
BAC-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.85 - 27.29,"
</"
BAC-J,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.45 - 25.87,"
</"
BAC-L,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"910.00 - 1,213.22","
</"
BAC-Z,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.33 - 25.69,"
</"
BAC.A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.83 - 5.77,"
</"
BAC.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.61 - 1.21,"
</"
BAF,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.24,N/A,N/A,N/A,N/A,N/A,14.52 - 17.49,"
</"
BAH,Consumer Services,Professional Services,9.63,1.12,1.439,60.32,10.29,0.33,520.00M,137.07M,1.90B,11.85 - 19.23,"
</"
BAK,Basic Industries,Major Chemicals,N/A,0.61,N/A,4.24,1.48,0.35,1.63B,398.07M,6.17B,10.48 - 19.65,"
</"
BALT,Transportation,Marine Transportation,N/A,N/A,N/A,7.43,0.27,2.16,8.00M,22.27M,73.50M,2.70 - 4.86,"
</"
BAM,Consumer Services,Building operators,17.41,2.21,2.121,1.52,1.33,1.21,5.56B,618.84M,22.82B,29.97 - 38.03,"
</"
BAP,Finance,Commercial Banks,16.07,1.09,9.754,1.47,3.12,5.43,N/A,79.76M,12.67B,110.15 - 160.35,"
</"
BAS,Energy,Oilfield Services/Equipment,8.45,N/A,1.53,N/A,1.31,0.36,353.50M,40.07M,526.10M,8.52 - 21.25,"
</"
BAX,Health Care,Medical/Dental Instruments,16.23,1.68,4.18,2.31,N/A,N/A,3.53B,N/A,N/A,48.98 - 69.00,"
</"
BBD,Finance,Major Banks,12.82,0.81,1.434,2.75,2.16,2.95,N/A,3.82B,69.97B,13.17 - 18.85,"
</"
BBDO,,,12.07,N/A,1.434,2.47,2.04,2.78,N/A,3.82B,66.08B,0.00 - 0.00,"
</"
BBF,Finance,Closed-End Fund - Debt,4.75,N/A,3.411,5.41,1.02,14.01,N/A,6.70M,107.80M,13.89 - 16.76,"
</"
BBG,Energy,Oil & Gas Production,N/A,14.43,N/A,N/A,0.64,1.04,481.10M,47.25M,774.90M,15.42 - 30.76,"
</"
BBK,Finance,Closed-End Fund - Debt,5.23,N/A,3.369,6.69,1.05,13.94,N/A,10.49M,184.56M,15.26 - 19.00,"
</"
BBL,Energy,Coal Mining,11.9,2.96,5.768,3.26,2.77,2.53,32.96B,2.66B,185.70B,51.34 - 72.40,"
</"
BBN,,,N/A,N/A,N/A,7.21,N/A,N/A,N/A,N/A,N/A,20.37 - 24.17,"
</"
BBT,Finance,Major Banks,11.21,0.95,2.7,2.64,1.11,2.46,N/A,699.74M,21.78B,26.86 - 34.37,"
</"
BBT-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BBT-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BBT-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BBVA,Finance,Commercial Banks,24.4,2.17,0.405,5.55,0.9,2.32,N/A,4.87B,48.72B,5.30 - 10.57,"
</"
BBW,Consumer Services,Recreational Products/Toys,N/A,N/A,N/A,N/A,0.56,0.18,17.50M,16.50M,83.30M,3.10 - 8.72,"
</"
BBX,Finance,Savings Institutions,0.52,N/A,14.857,N/A,0.48,0.88,N/A,15.77M,124.40M,1.82 - 8.00,"
</"
BBY,Consumer Services,Consumer Electronics/Video Chains,N/A,N/A,N/A,4.06,1.57,0.11,3.30B,338.11M,5.45B,11.20 - 27.95,"
</"
BC,Energy,Industrial Machinery/Components,67.46,1.25,0.536,0.14,41.9,0.88,379.90M,90.00M,3.26B,19.35 - 36.62,"
</"
BCA,Finance,Commercial Banks,14.36,N/A,1.5,8.17,2.05,5.9,N/A,195.59M,4.25B,16.95 - 23.45,"
</"
BCA.T,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BCE,Public Utilities,Telecommunications Equipment,14.07,5.55,3.158,5.02,3.28,1.69,8.12B,774.55M,34.60B,39.03 - 45.68,"
</"
BCEI,,,34.62,N/A,0.892,N/A,2.19,6.2,109.30M,40.07M,1.23B,14.52 - 33.34,"
</"
BCF,,Apparel Stores,N/A,N/A,N/A,9.38,N/A,N/A,N/A,N/A,N/A,9.17 - 12.70,"
</"
BCH,Finance,Commercial Banks,15.07,3.13,6.6,3.88,3.45,6.03,N/A,148.00M,14.73B,80.00 - 101.04,"
</"
BCO,Transportation,Oil Refining/Marketing,18.75,1.19,1.59,1.34,2.92,0.36,311.50M,47.78M,1.33B,20.91 - 30.75,"
</"
BCR,Health Care,Medical/Dental Instruments,17.2,1.73,5.934,0.77,4.43,2.85,947.70M,82.32M,8.18B,91.41 - 108.31,"
</"
BCS,Finance,Commercial Banks,23.6,0.36,0.812,1.99,0.67,1.47,N/A,3.05B,57.66B,9.23 - 19.32,"
</"
BCS-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.13 - 25.62,"
</"
BCS-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.79 - 26.32,"
</"
BCS-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.33 - 26.36,"
</"
BCS.P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.42 - 25.48,"
</"
BCX,,,N/A,N/A,N/A,9.8,N/A,N/A,N/A,N/A,N/A,12.40 - 16.33,"
</"
BDC,Basic Industries,Telecommunications Equipment,41.01,2,1.174,0.42,3.28,1.12,235.90M,44.16M,2.17B,29.65 - 48.98,"
</"
BDJ,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.33,N/A,N/A,N/A,N/A,N/A,6.83 - 7.90,"
</"
BDN,Consumer Services,Real Estate Investment Trusts,110.7,3.87,0.115,4.71,0.98,3.15,334.00M,143.12M,1.87B,9.48 - 13.25,"
</"
BDN-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BDX,Health Care,Medical/Dental Instruments,15.04,2.06,5.589,2.2,4,2.15,2.07B,196.96M,16.77B,71.56 - 85.00,"
</"
BEAM,,,28.57,2.21,2.147,1.34,2.18,4.08,797.60M,159.11M,9.70B,52.69 - 64.00,"
</"
BEE,Consumer Services,Real Estate Investment Trusts,N/A,4.87,N/A,N/A,3.22,1.93,132.70M,204.36M,1.50B,5.44 - 7.41,"
</"
BEE-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.36 - 31.97,"
</"
BEE-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.60 - 30.93,"
</"
BEE-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.25 - 31.30,"
</"
BEN,Finance,Investment Managers,15.29,1.09,8.95,0.8,3.16,4.09,2.73B,212.29M,29.67B,100.91 - 138.45,"
</"
BERY,,,879,1.28,0.02,N/A,N/A,0.42,711.00M,112.69M,2.03B,0.00 - 0.00,"
</"
BF.A,Consumer Non-Durables,Beverages (Production/Distribution),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.11 - 69.20,"
</"
BF.B,Consumer Non-Durables,Beverages (Production/Distribution),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.35 - 71.00,"
</"
BFAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BFK,Finance,Closed-End Fund - Debt,5.4,N/A,2.931,6.07,1.03,13.54,N/A,44.69M,703.90M,13.85 - 16.79,"
</"
BFO,Finance,Closed-End Fund - Debt,8.65,N/A,1.803,4.48,0.97,15.3,N/A,5.56M,86.69M,14.87 - 16.34,"
</"
BFR,Finance,Commercial Banks,2.69,0.87,1.764,N/A,0.82,0.77,N/A,178.95M,873.30M,3.05 - 6.59,"
</"
BFS,Consumer Services,Real Estate Investment Trusts,51.51,4.81,0.83,3.37,10.62,4.5,121.50M,19.90M,863.00M,34.58 - 46.42,"
</"
BFS-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.01 - 26.39,"
</"
BFS-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.15 - 27.62,"
</"
BFZ,Finance,Closed-End Fund - Debt,5.06,N/A,3.36,5.49,1.04,14.45,N/A,31.83M,539.60M,14.35 - 17.52,"
</"
BG,Consumer Non-Durables,Packaged Foods,13.42,1.29,5.938,1.31,1.07,0.19,1.66B,146.17M,11.67B,57.10 - 79.71,"
</"
BGB,,,N/A,N/A,N/A,1.21,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BGC,Basic Industries,Telecommunications Equipment,20.83,1.46,1.614,N/A,1.17,0.29,346.50M,49.69M,1.68B,23.73 - 34.89,"
</"
BGCA,,,285.33,N/A,0.092,3.68,12.87,2.48,N/A,151.94M,4.04B,0.00 - 0.00,"
</"
BGE-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.10 - 26.00,"
</"
BGG,Energy,Industrial Machinery/Components,85.05,2.39,0.279,1.94,1.76,0.57,146.40M,46.91M,1.12B,16.13 - 24.46,"
</"
BGH,Basic Materials,Oil & Gas Pipelines,N/A,N/A,N/A,1.37,N/A,N/A,N/A,N/A,N/A,26.45 - 48.90,"
</"
BGR,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,6.33,0.93,60.68,N/A,29.77M,767.40M,20.89 - 28.00,"
</"
BGS,Consumer Non-Durables,Packaged Foods,24.77,1.6,1.28,3.47,6.22,2.73,161.70M,52.55M,1.69B,20.99 - 32.84,"
</"
BGT,,,N/A,N/A,N/A,6.46,N/A,N/A,N/A,N/A,N/A,13.59 - 15.80,"
</"
BGX,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.55 - 19.73,"
</"
BGY,Energy,,15.31,N/A,0.505,10.04,0.93,30.44,N/A,109.99M,857.90M,6.72 - 8.49,"
</"
BH,Consumer Services,Restaurants,28.39,1.71,12.993,N/A,1.53,0.71,63.40M,1.43M,530.20M,326.55 - 431.74,"
</"
BHD,Finance,Closed-End Fund - Debt,7.72,N/A,2.011,6.61,1.08,13.05,N/A,7.06M,110.00M,13.23 - 16.07,"
</"
BHE,Technology,Electrical Products,24.36,1.32,0.721,N/A,0.86,0.41,106.30M,55.45M,992.50M,12.54 - 18.87,"
</"
BHI,Energy,Metal Fabrications,15.07,1.52,2.968,1.34,1.14,0.94,3.67B,440.00M,19.81B,37.08 - 52.93,"
</"
BHK,Finance,Closed-End Fund - Foreign,6.81,N/A,2.256,5.93,1.01,15.08,N/A,27.03M,418.10M,13.08 - 16.25,"
</"
BHL,,,N/A,N/A,N/A,5.74,N/A,N/A,N/A,N/A,N/A,12.86 - 14.89,"
</"
BHLB,,,16.23,1.06,1.491,2.85,0.88,3.11,N/A,24.16M,592.00M,0.00 - 0.00,"
</"
BHP,Basic Industries,Precious Metals,13.65,2.64,5.768,2.85,3.18,2.9,32.96B,2.66B,211.30B,59.87 - 82.23,"
</"
BHY,Finance,Closed-End Fund - Equity,7.71,N/A,1.025,6.78,1.08,11.82,N/A,6.43M,51.30M,6.64 - 8.37,"
</"
BID,Miscellaneous,Business Services,21.81,1.23,1.647,1.45,2.56,3.2,227.10M,67.77M,2.43B,27.43 - 41.24,"
</"
BIE,Finance,Closed-End Fund - Foreign,5.44,N/A,3.173,5.56,1.02,13.8,N/A,3.34M,58.10M,14.90 - 17.99,"
</"
BIF,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,4.16,N/A,N/A,N/A,N/A,N/A,5.58 - 7.01,"
</"
BIG,Consumer Services,Department/Specialty Retail Stores,11.68,1.11,2.753,N/A,2.91,0.35,392.00M,57.88M,1.87B,26.69 - 47.22,"
</"
BIN,Public Utilities,Environmental Services,N/A,3.92,N/A,2.53,1.99,1.37,527.40M,114.93M,2.56B,17.53 - 23.11,"
</"
BIO,Capital Goods,Biotechnology: Laboratory Analytical Instruments,17.96,2.01,6.337,N/A,1.67,1.57,405.60M,28.31M,3.30B,91.52 - 118.00,"
</"
BIO.B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.98 - 115.38,"
</"
BIP,Public Utilities,Electric Utilities: Central,72.22,10.1,0.517,4.02,1.58,3.95,736.00M,193.71M,7.23B,28.10 - 37.94,"
</"
BITA,Technology,EDP Services,23.53,0.95,0.422,N/A,2.65,2.64,20.20M,39.43M,374.60M,3.50 - 10.24,"
</"
BJZ,Finance,Closed-End Fund - Debt,10.26,N/A,1.567,4.68,1.03,17.88,N/A,6.43M,103.10M,15.24 - 17.13,"
</"
BK,Finance,Major Banks,13.38,0.9,2.03,1.91,0.89,2.16,N/A,1.16B,31.82B,19.30 - 27.45,"
</"
BK-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BKD,Health Care,Hospital/Nursing Management,N/A,N/A,N/A,N/A,3.24,1.37,376.00M,122.59M,3.35B,14.99 - 28.37,"
</"
BKE,Consumer Services,Clothing/Shoe/Accessory Stores,14.02,1.52,3.337,11.33,4.94,2.01,282.40M,47.37M,2.23B,36.33 - 51.74,"
</"
BKH,Public Utilities,Electric Utilities: Central,22.93,2.94,1.76,2.75,1.47,1.47,379.70M,44.18M,1.81B,30.29 - 40.97,"
</"
BKI,Basic Industries,Paper,11.76,1.16,2.444,1.11,1.76,1.33,202.10M,39.17M,1.13B,23.52 - 35.98,"
</"
BKK,Finance,Closed-End Fund - Debt,8.38,N/A,2.013,4.41,1.01,15.18,N/A,20.24M,341.80M,15.42 - 17.30,"
</"
BKN,Finance,Closed-End Fund - Debt,5.26,N/A,3.168,5.98,1.03,14.31,N/A,17.14M,286.90M,14.78 - 17.43,"
</"
BKS,Consumer Services,Other Specialty Stores,N/A,0.08,N/A,N/A,1.06,0.11,214.60M,59.01M,784.20M,10.45 - 26.00,"
</"
BKT,Finance,Closed-End Fund - Debt,15.63,N/A,0.46,6.84,0.91,15.48,N/A,63.94M,463.60M,7.07 - 7.74,"
</"
BKU,Finance,Savings Institutions,13.12,3.63,2.05,2.68,1.41,3.83,N/A,95.00M,2.57B,22.01 - 27.27,"
</"
BKW,,,0.73,1.74,24.464,0.23,5.54,2.9,624.80M,350.11M,6.23B,0.00 - 0.00,"
</"
BLC,Consumer Services,Broadcasting,9.33,2.18,0.908,3.42,2.85,1.27,243.80M,103.14M,894.20M,5.59 - 9.00,"
</"
BLH,Finance,Closed-End Fund - Debt,11.88,N/A,1.359,5.03,1.03,15.95,N/A,3.63M,58.70M,15.75 - 17.40,"
</"
BLK,Finance,Investment Bankers/Brokers/Service,17.13,1.28,13.79,2.54,N/A,4.35,3.82B,172.04M,40.75B,160.25 - 238.62,"
</"
BLL,Consumer Durables,Containers/Packaging,16.98,1.3,2.622,0.9,5.27,0.79,1.14B,153.85M,7.01B,38.39 - 46.99,"
</"
BLOX,,,N/A,N/A,N/A,N/A,5.98,4.97,N/A,47.28M,893.50M,0.00 - 0.00,"
</"
BLT,Capital Goods,Industrial Machinery/Components,21.05,1.12,0.81,N/A,7.98,0.9,133.40M,49.09M,848.20M,12.46 - 17.62,"
</"
BLW,Finance,Major Banks,8.65,N/A,2.19,7.26,1.09,12.72,N/A,36.96M,701.80M,16.54 - 18.99,"
</"
BLX,Finance,Commercial Banks,9.36,1.42,2.479,4.74,1.09,6.27,N/A,38.14M,896.30M,18.47 - 23.46,"
</"
BMA,Finance,Commercial Banks,3.3,0.37,5.05,N/A,0.81,0.88,N/A,59.46M,1.06B,10.74 - 25.11,"
</"
BME,Finance,Closed-End Fund - Equity,86.85,N/A,0.343,8.01,1.08,80.87,N/A,7.69M,227.80M,26.17 - 31.01,"
</"
BMI,Capital Goods,Industrial Machinery/Components,30.42,2.53,1.627,1.33,4.24,2.31,50.20M,14.31M,721.30M,30.38 - 51.33,"
</"
BML-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.29 - 21.65,"
</"
BML-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.32 - 21.73,"
</"
BML-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.37 - 25.58,"
</"
BML-J,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.00 - 24.15,"
</"
BML-L,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.99 - 22.77,"
</"
BML-N,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.36 - 26.65,"
</"
BML-O,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.65 - 26.12,"
</"
BML-Q,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.72 - 26.29,"
</"
BMO,Finance,Commercial Banks,10.09,1.59,6.268,4.51,1.54,2.63,N/A,650.77M,41.10B,50.95 - 64.79,"
</"
BMR,Consumer Services,Real Estate Investment Trusts,884.78,2.43,0.023,4.32,1.34,6.28,295.30M,152.77M,3.12B,17.52 - 20.53,"
</"
BMR-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.40 - 26.02,"
</"
BMS,Consumer Durables,Containers/Packaging,24.01,2.21,1.486,2.8,2.28,0.71,616.80M,103.30M,3.75B,29.52 - 36.23,"
</"
BMY,Consumer Durables,Major Pharmaceuticals,31.16,3.84,1.16,3.79,N/A,3.39,5.06B,1.65B,60.93B,30.64 - 36.71,"
</"
BNA,Finance,Closed-End Fund - Debt,6.55,N/A,1.717,5.94,0.95,14.57,N/A,34.46M,389.00M,10.15 - 12.10,"
</"
BNJ,Finance,Closed-End Fund - Debt,5.88,N/A,3.042,4.93,1.11,15.24,N/A,7.64M,137.62M,15.32 - 18.63,"
</"
BNNY,,,55.25,2.02,0.649,N/A,8.29,3.97,20.80M,17.12M,628.40M,0.00 - 0.00,"
</"
BNS,Finance,Major Banks,11.06,1.36,5.321,3.8,1.94,3.71,N/A,1.18B,69.98B,48.45 - 59.18,"
</"
BNY,Finance,Closed-End Fund - Debt,6.36,N/A,2.643,5.64,1.08,14.71,N/A,12.88M,217.00M,15.15 - 17.28,"
</"
BOE,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,12.06,0.9,38.05,N/A,69.49M,985.30M,11.92 - 16.03,"
</"
BOH,Finance,Major Banks,13.1,1.6,3.67,3.74,2.11,3.73,N/A,44.76M,2.17B,41.41 - 49.99,"
</"
BORN,Consumer Non-Durables,Beverages (Production/Distribution),1.32,N/A,1.48,N/A,0.21,0.11,75.20M,25.74M,50.20M,1.43 - 4.44,"
</"
BOX,Basic Materials,Synthetics,10.05,1.75,2.286,4.92,1.89,2.39,167.80M,20.29M,466.60M,15.47 - 23.15,"
</"
BOXC,,,5.11,N/A,5.767,3.46,0.9,1.47,N/A,26.10M,769.70M,23.76 - 30.23,"
</"
