Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
ASBCW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.95 - 2.57,"
</"
ASBI,Finance,Savings Institutions,13.31,N/A,0.616,0.49,0.68,1.34,N/A,2.98M,25.50M,4.06 - 8.36,"
</"
ASCA,Consumer Services,Hotels/Resorts,11.05,0.86,2.399,1.89,N/A,0.72,338.10M,32.81M,865.46M,15.04 - 27.18,"
</"
ASCMA,Consumer Services,Television Services,N/A,N/A,N/A,N/A,1.75,2.7,209.40M,14.02M,900.40M,44.90 - 65.30,"
</"
ASEI,Health Care,Medical Electronics,30.72,1.8,2.2,2.96,2.47,2.92,34.50M,8.27M,573.70M,46.30 - 78.99,"
</"
ASFI,Finance,Finance Companies,13.53,N/A,0.7,1.48,0.73,2.76,19.90M,12.95M,124.30M,7.25 - 10.49,"
</"
ASIA,Technology,Computer Software: Prepackaged Software,29.05,N/A,0.378,N/A,0.8,1.55,62.80M,72.69M,805.40M,9.46 - 13.90,"
</"
ASMI,Technology,Industrial Machinery/Components,38.26,N/A,1.039,1.62,2.53,1.16,218.90M,55.00M,2.25B,31.02 - 40.47,"
</"
ASML,Technology,Industrial Machinery/Components,21.64,0.85,3.47,16.83,6.45,5.55,1.74B,452.45M,35.39B,43.74 - 76.44,"
</"
ASNA,Consumer Services,Clothing/Shoe/Accessory Stores,17.1,0.89,0.991,N/A,1.88,0.71,475.00M,155.50M,2.65B,15.95 - 22.62,"
</"
ASPS,Consumer Services,Other Consumer Services,20.72,0.42,4.24,N/A,8.89,3.67,141.20M,23.36M,2.09B,50.27 - 129.72,"
</"
ASRV,Finance,Major Banks,14.05,N/A,0.21,N/A,0.51,1.18,N/A,19.17M,57.70M,2.15 - 3.21,"
</"
ASRVP,Finance,Major Banks,N/A,N/A,N/A,8.12,N/A,N/A,N/A,N/A,N/A,25.00 - 30.25,"
</"
ASTC,Capital Goods,Military/Government/Technical,N/A,N/A,N/A,N/A,0.52,0.6,N/A,19.14M,17.23M,0.64 - 1.34,"
</"
ASTE,Capital Goods,Construction/Ag Equipment/Trucks,21.67,1.59,1.63,N/A,1.44,0.8,79.40M,22.79M,820.30M,26.09 - 40.68,"
</"
ASTI,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.74,17.43,N/A,50.93M,32.60M,0.53 - 2.31,"
</"
ASTM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,N/A,29334.61,N/A,43.75M,59.50M,1.11 - 2.72,"
</"
ASTX,,,88.16,N/A,0.038,N/A,1.35,3.9,11.40M,93.50M,326.30M,1.57 - 3.49,"
</"
ASUR,Technology,EDP Services,N/A,N/A,N/A,N/A,13.31,2.08,1.50M,5.25M,36.40M,4.01 - 8.00,"
</"
ASYS,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.45,0.45,N/A,9.49M,37.30M,2.90 - 11.60,"
</"
ATAI,Consumer Services,Other Consumer Services,21.39,0.8,0.267,3.05,2.35,2.38,8.50M,22.50M,128.50M,3.09 - 7.48,"
</"
ATAX,Finance,Finance: Consumer Services,394.44,N/A,0.018,7.04,1.61,16.41,N/A,42.77M,304.10M,4.98 - 7.35,"
</"
ATEA,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,2.12,0.36,320.00K,3.59M,9.70M,2.34 - 6.07,"
</"
ATEC,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,0.65,0.8,10.20M,89.47M,153.00M,1.41 - 2.42,"
</"
ATHN,Miscellaneous,Business Services,173.29,3.59,0.499,N/A,10.64,7.87,50.00M,36.27M,3.16B,56.33 - 97.37,"
</"
ATHX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,24.77,9.51,N/A,53.09M,86.00M,0.95 - 2.14,"
</"
ATLC,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ATLO,Finance,Major Banks,14.39,N/A,1.52,2.74,1.41,5.13,N/A,9.31M,204.30M,18.39 - 24.00,"
</"
ATMI,Basic Industries,Major Chemicals,N/A,1.35,N/A,N/A,1.35,1.64,78.30M,32.01M,666.20M,17.59 - 24.85,"
</"
ATML,Technology,Semiconductors,38.95,1.02,0.172,N/A,2.83,2,207.10M,439.61M,3.12B,4.37 - 10.74,"
</"
ATNI,Public Utilities,Telecommunications Equipment,16.83,5.05,2.572,2.22,2.09,0.91,191.20M,15.56M,675.30M,30.63 - 48.64,"
</"
ATNY,,,N/A,N/A,N/A,N/A,1.04,0.54,41.30M,55.30M,157.60M,2.31 - 4.10,"
</"
ATOS,,,N/A,N/A,N/A,N/A,18.65,175.89,N/A,12.91M,69.20M,0.00 - 0.00,"
</"
ATRC,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,9.91,1.96,N/A,16.67M,133.90M,5.90 - 12.12,"
</"
ATRI,Health Care,Medical/Dental Instruments,16.86,N/A,11.89,6.03,2.68,3.48,41.50M,2.01M,403.40M,185.16 - 261.98,"
</"
ATRM,Capital Goods,Electrical Products,N/A,N/A,N/A,N/A,0.9,0.94,N/A,10.76M,7.10M,0.35 - 1.17,"
</"
ATRO,Capital Goods,Military/Government/Technical,14.13,0.8,1.621,17.14,2.78,1.26,41.00M,14.29M,345.50M,19.25 - 36.87,"
</"
ATRS,Technology,Application Software,N/A,N/A,N/A,N/A,11.72,21.19,N/A,125.15M,471.80M,0.00 - 0.00,"
</"
ATSG,Transportation,Air Freight/Delivery Services,7.14,N/A,0.651,N/A,0.98,0.48,168.70M,64.17M,300.30M,3.38 - 6.88,"
</"
ATTU,Technology,Technical & System Software,63.5,N/A,0.12,N/A,8.7,3.27,3.80M,10.92M,85.10M,0.32 - 1.39,"
</"
ATVI,Technology,Computer Software: Prepackaged Software,14.71,1.09,0.775,1.58,1.17,2.82,1.15B,1.11B,12.96B,10.45 - 13.01,"
</"
ATX,Consumer Durables,Consumer Specialties,16.11,0.88,0.71,N/A,1.77,0.84,18.50M,13.09M,149.80M,8.38 - 12.46,"
</"
AUBN,Finance,Major Banks,11.37,N/A,1.857,3.88,1.1,2.79,N/A,3.64M,77.00M,19.50 - 27.00,"
</"
AUDC,Public Utilities,Telecommunications Equipment,N/A,2.56,N/A,N/A,1.42,1.09,N/A,37.94M,152.50M,1.20 - 4.06,"
</"
AUXL,Consumer Durables,Major Pharmaceuticals,N/A,0.51,N/A,N/A,8.71,3.05,N/A,49.15M,926.50M,16.98 - 29.37,"
</"
AVAV,Capital Goods,Aerospace,15.71,1.13,1.378,N/A,1.54,1.48,54.70M,22.03M,477.20M,19.25 - 31.87,"
</"
AVCA,Health Care,Hospital/Nursing Management,N/A,N/A,N/A,4.33,1.62,0.1,8.60M,5.93M,31.00M,4.01 - 7.54,"
</"
AVEO,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,2.49,71.03,N/A,43.73M,349.00M,5.80 - 14.50,"
</"
AVGO,Technology,Semiconductors,15.9,1.15,2.25,1.71,3.63,3.72,744.00M,245.75M,8.91B,29.70 - 39.22,"
</"
AVHI,,,N/A,N/A,N/A,N/A,0.87,1.79,N/A,13.02M,197.60M,9.14 - 16.13,"
</"
AVID,Miscellaneous,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.82,0.46,7.40M,38.92M,300.10M,5.85 - 12.64,"
</"
AVNR,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,10.81,9.68,N/A,136.84M,398.20M,2.07 - 4.05,"
</"
AVNW,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,1.2,N/A,N/A,1.46,0.48,13.20M,60.00M,224.40M,2.03 - 3.89,"
</"
AWAY,,,199.75,1.78,0.12,N/A,3.98,7.45,48.50M,83.08M,1.99B,19.19 - 27.50,"
</"
AWRE,Technology,Semiconductors,1.85,N/A,3.11,51.22,1.1,5.26,4.10M,22.35M,132.30M,3.06 - 7.50,"
</"
AXAS,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,3.41,3,25.90M,91.93M,202.24M,1.55 - 4.39,"
</"
AXDX,,,N/A,N/A,N/A,N/A,8.08,2574.75,N/A,25.33M,111.70M,0.00 - 0.00,"
</"
AXFN,,,N/A,N/A,N/A,4.16,N/A,N/A,N/A,N/A,N/A,17.15 - 25.23,"
</"
AXJS,,,N/A,N/A,N/A,9.26,N/A,N/A,N/A,N/A,N/A,51.33 - 62.11,"
</"
AXTI,Technology,Semiconductors,14.71,1.27,0.189,N/A,0.64,0.99,13.90M,32.21M,93.10M,2.60 - 6.84,"
</"
AZPN,Technology,EDP Services,373.17,7.39,0.082,N/A,27.47,10.43,20.90M,93.45M,2.84B,18.74 - 32.98,"
</"
BABY,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,0.93,N/A,N/A,1.38,1.36,25.20M,29.19M,366.00M,9.65 - 13.84,"
</"
BAGL,Consumer Services,Restaurants,14.01,0.9,0.917,35.02,2.33,0.51,49.90M,16.96M,221.50M,11.45 - 18.58,"
</"
BAMM,Consumer Services,Other Specialty Stores,19.36,N/A,0.125,N/A,0.35,0.07,21.40M,15.58M,39.10M,2.25 - 3.79,"
</"
BANC,,,65.7,1,0.179,4.08,0.87,3.28,N/A,11.78M,136.80M,10.25 - 13.34,"
</"
BANCL,,,143.15,N/A,0.179,5.49,1.89,7.16,N/A,11.78M,301.90M,0.00 - 0.00,"
</"
BANF,Finance,Major Banks,12.17,1.04,3.36,2.74,1.22,2.5,N/A,15.24M,624.80M,36.49 - 44.90,"
</"
BANFP,Finance,Major Banks,N/A,N/A,N/A,6.84,N/A,N/A,N/A,N/A,N/A,26.10 - 36.20,"
</"
BANR,Finance,Major Banks,9.56,1.53,3.16,0.13,1.16,3.23,N/A,19.42M,592.90M,18.05 - 32.03,"
</"
BASI,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,N/A,N/A,N/A,1.61,0.47,N/A,7.66M,13.10M,0.81 - 1.84,"
</"
BBBY,Consumer Services,Home Furnishings,13.4,1.04,4.379,N/A,3.28,1.27,1.78B,222.05M,13.15B,54.33 - 75.84,"
</"
BBCN,,,12.21,0.96,0.99,0.41,1.26,3.65,N/A,78.04M,952.10M,9.73 - 13.21,"
</"
BBEP,Energy,Oil & Gas Production,N/A,N/A,N/A,6.51,1.08,4.14,134.30M,80.65M,1.72B,16.06 - 21.75,"
</"
BBGI,Consumer Services,Broadcasting,10.54,0.27,0.478,1.69,1.41,1.17,28.50M,22.81M,111.10M,3.15 - 6.12,"
</"
BBNK,Finance,Major Banks,17.05,2.85,0.92,N/A,1.54,3.25,N/A,14.40M,230.40M,11.24 - 16.43,"
</"
BBOX,Technology,Computer Communications Equipment,12.2,0.9,1.921,1.32,0.79,0.38,76.30M,16.41M,397.30M,19.31 - 30.42,"
</"
BBRG,Consumer Services,Restaurants,18.37,1.1,0.811,N/A,2.98,0.75,43.50M,19.75M,295.80M,12.28 - 21.97,"
</"
BBSI,Technology,Professional Services,47.29,0.68,0.851,1.14,5.8,0.76,9.20M,7.01M,282.10M,15.68 - 42.02,"
</"
BCBP,Finance,Savings Institutions,N/A,N/A,N/A,3.78,0.97,2.93,N/A,8.52M,83.00M,8.71 - 10.99,"
</"
BCDS,Technology,Semiconductors,N/A,1.5,N/A,N/A,1.01,1.06,15.30M,18.51M,145.10M,3.27 - 7.87,"
</"
BCOM,Consumer Services,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.54,0.04,1.29B,29.90M,117.50M,2.27 - 12.87,"
</"
BCOR,,,14.7,1.79,1.011,N/A,1.49,1.61,73.00M,40.75M,611.60M,0.00 - 0.00,"
</"
BCOV,,,N/A,N/A,N/A,N/A,3.58,2.85,N/A,27.82M,170.00M,8.26 - 25.50,"
</"
BCPC,Basic Industries,Major Chemicals,28.77,2.39,1.3,0.59,4.11,3.66,68.10M,29.36M,1.12B,26.56 - 38.84,"
</"
BCRX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,8.44,3.01,N/A,50.91M,84.00M,1.08 - 5.95,"
</"
BCSB,Finance,Savings Institutions,25.04,N/A,0.61,N/A,0.88,2.36,N/A,3.19M,48.68M,12.25 - 15.75,"
</"
BDBD,,,447.67,3.53,0.03,N/A,2.4,2.35,36.60M,59.49M,806.70M,0.00 - 0.00,"
</"
BDE,Finance,Business Services,42.5,43.71,0.18,N/A,0.98,1.47,13.50M,31.36M,251.50M,7.63 - 10.63,"
</"
BDGE,Finance,Major Banks,13.81,N/A,1.48,4.5,1.51,3.41,N/A,8.79M,181.20M,18.68 - 24.80,"
</"
BDMS,Health Care,Medical/Nursing Services,24.75,N/A,0.712,4.99,4.45,0.53,4.30M,1.84M,32.50M,16.21 - 19.49,"
</"
BDSI,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,12.01,2.94,9.00M,30.69M,141.50M,1.96 - 6.89,"
</"
BEAT,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,0.77,0.52,69.00K,25.15M,59.10M,1.84 - 3.44,"
</"
BEAV,Consumer Durables,Industrial Specialties,24.4,0.66,2.11,N/A,2.58,1.82,599.70M,103.93M,5.47B,36.51 - 51.99,"
</"
BEBE,Consumer Non-Durables,Apparel,52.25,N/A,0.08,2.39,0.98,0.68,32.90M,84.41M,333.40M,3.48 - 9.58,"
</"
BECN,Consumer Services,RETAIL: Building Materials,22.87,1.11,1.58,N/A,2.64,0.84,168.00M,47.70M,1.75B,22.40 - 37.24,"
</"
BELFA,Capital Goods,Electrical Products,38.7,N/A,0.424,1.46,0.87,0.68,17.70M,11.69M,196.30M,13.70 - 22.01,"
</"
BELFB,Capital Goods,Electrical Products,43.94,N/A,0.424,1.5,0.99,0.77,17.70M,11.69M,218.80M,14.20 - 20.99,"
</"
BERK,Finance,Major Banks,10.64,N/A,0.784,0.96,0.91,4.22,N/A,14.42M,120.40M,6.29 - 9.20,"
</"
BFIN,Finance,Savings Institutions,N/A,N/A,N/A,0.4,0.76,3.01,N/A,19.91M,151.70M,5.25 - 9.24,"
</"
BFLY,Consumer Services,Catalog/Specialty Distribution,N/A,N/A,N/A,N/A,2.1,0.22,N/A,28.61M,20.60M,0.55 - 2.24,"
</"
BGCP,Finance,Investment Bankers/Brokers/Service,43.37,0.51,0.092,15.79,1.96,0.38,N/A,151.94M,606.24M,3.11 - 8.03,"
</"
BGFV,Consumer Services,Other Specialty Stores,27.85,1.83,0.498,2.16,1.84,0.32,39.30M,21.27M,301.60M,6.12 - 14.74,"
</"
BGMD,Health Care,Medical Specialities,N/A,N/A,N/A,N/A,15.41,19.81,N/A,20.48M,42.60M,1.00 - 12.80,"
</"
BGSC,,,N/A,N/A,N/A,N/A,3.79,N/A,N/A,1.90M,18.90M,0.00 - 0.00,"
</"
BGSCU,,,N/A,N/A,N/A,N/A,1002,N/A,N/A,5.33M,53.20M,0.00 - 0.00,"
</"
BGSCW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
BIB,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.01 - 135.72,"
</"
BICK,,,N/A,N/A,N/A,1.34,N/A,N/A,N/A,N/A,N/A,21.12 - 28.30,"
</"
BIDU,Technology,"Computer Software: Programming, Data Processing",24.5,0.65,4.42,N/A,10.24,11.61,1.88B,349.59M,37.97B,85.96 - 154.15,"
</"
BIIB,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),27.1,1.24,5.76,N/A,5.3,6.69,2.20B,236.61M,37.22B,114.53 - 157.18,"
</"
BIOC,Health Care,Precision Instruments,31.35,2.88,0.23,N/A,1.85,1.5,10.50M,15.61M,113.30M,4.60 - 7.24,"
</"
BIOD,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.24,N/A,N/A,14.17M,39.10M,2.00 - 4.00,"
</"
BIOF,Basic Industries,Major Chemicals,N/A,N/A,N/A,N/A,0.38,0.05,4.50M,5.30M,25.30M,2.07 - 18.40,"
</"
BIOL,,,N/A,N/A,N/A,N/A,7.79,1.53,N/A,31.27M,78.50M,0.00 - 0.00,"
</"
BIOS,Health Care,Medical/Nursing Services,9.75,N/A,1.152,N/A,2.25,0.34,59.50M,56.90M,639.50M,6.11 - 11.99,"
</"
BIRT,Technology,Computer Software: Prepackaged Software,20.93,1.07,0.269,N/A,2.15,1.99,27.30M,48.97M,280.10M,4.97 - 7.30,"
</"
BIS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.81 - 79.41,"
</"
BJRI,Consumer Services,Restaurants,27.09,1.5,1.18,N/A,2.47,1.29,86.30M,28.02M,899.30M,31.03 - 54.46,"
</"
BKCC,Finance,Credit Services,12.51,2.06,0.853,9.75,1.12,5.42,N/A,73.83M,785.60M,8.99 - 10.69,"
</"
BKEP,,,50.06,N/A,0.161,5.56,0.39,1.34,69.70M,30.16M,242.20M,6.08 - 8.22,"
</"
BKEPP,,,54.04,N/A,0.161,8.23,0.42,1.45,69.70M,30.16M,265.40M,8.00 - 10.45,"
</"
BKMU,Finance,Savings Institutions,35.14,N/A,0.146,0.97,0.87,2.76,N/A,46.32M,246.90M,3.36 - 5.15,"
</"
BKOR,Finance,Major Banks,N/A,N/A,N/A,N/A,0.39,0.62,N/A,1.82M,8.00M,2.54 - 5.75,"
</"
BKSC,Finance,Major Banks,15.16,N/A,0.789,3.76,1.58,3.89,N/A,4.45M,53.20M,10.34 - 12.50,"
</"
BKYF,Finance,Savings Institutions,10.89,1.91,2.41,3.01,1.15,2.74,N/A,7.47M,196.10M,23.08 - 28.50,"
</"
BLDP,Energy,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.76,1.03,N/A,91.61M,61.38M,0.56 - 1.75,"
</"
BLDR,Consumer Services,RETAIL: Building Materials,N/A,N/A,N/A,N/A,10.16,0.61,N/A,95.51M,599.82M,2.66 - 6.55,"
</"
BLIN,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,1.17,1.02,855.00K,15.22M,27.40M,0.63 - 3.24,"
</"
BLKB,Technology,Computer Software: Prepackaged Software,118.67,1.82,0.21,1.93,7.45,2.61,61.10M,44.18M,1.13B,20.99 - 34.00,"
</"
BLMN,,,32.93,1.09,0.564,N/A,10.67,0.57,322.40M,121.09M,2.27B,0.00 - 0.00,"
</"
BLMT,,,N/A,N/A,N/A,N/A,0.88,5.4,N/A,9.17M,118.80M,10.80 - 13.47,"
</"
BLRX,,,N/A,N/A,N/A,N/A,3.79,N/A,N/A,15.05M,71.50M,2.20 - 5.86,"
</"
BMC,Technology,Computer Software: Prepackaged Software,20.19,1.01,2.058,N/A,8.72,2.7,608.20M,142.90M,6.03B,35.48 - 45.70,"
</"
BMRC,Finance,Major Banks,11.97,1.23,3.28,1.81,1.39,3.12,N/A,5.36M,209.20M,34.50 - 44.09,"
</"
BMRN,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,6.69,14.26,N/A,123.82M,6.93B,31.91 - 55.70,"
</"
BMTC,Finance,Major Banks,14.36,1.78,1.6,3.53,1.48,2.82,N/A,13.16M,307.60M,19.14 - 23.44,"
</"
BMTI,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,6.09,118.38,N/A,28.22M,241.30M,2.00 - 8.48,"
</"
BNCL,Finance,Savings Institutions,46.8,4.26,0.2,N/A,1.12,5.16,N/A,76.40M,714.30M,8.30 - 10.20,"
</"
BNCN,Finance,Major Banks,18.34,1.64,0.457,2.39,0.87,2.23,N/A,24.27M,205.80M,6.72 - 9.00,"
</"
BNSO,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.7,0.27,N/A,5.25M,7.40M,0.88 - 1.88,"
</"
BOBE,Consumer Services,Restaurants,18.88,1.85,2.345,2.37,1.93,0.75,198.50M,28.11M,1.22B,34.45 - 45.36,"
</"
BOCH,Finance,Major Banks,11.39,N/A,0.431,2.44,0.87,1.74,N/A,16.13M,80.00M,3.78 - 5.24,"
</"
BODY,Consumer Services,Clothing/Shoe/Accessory Stores,8.36,0.55,0.951,N/A,1.33,0.42,30.90M,16.31M,130.00M,7.71 - 30.93,"
</"
BOFI,Finance,Savings Institutions,13.16,N/A,2.428,N/A,1.95,4.37,N/A,12.82M,419.70M,15.48 - 32.35,"
</"
BOKF,Finance,Major Banks,10.93,1.37,5.13,4.41,1.28,2.72,N/A,67.62M,3.82B,50.89 - 60.00,"
</"
BOLT,Energy,Metal Fabrications,47.3,N/A,0.315,4.97,1.88,2.24,12.20M,8.60M,132.50M,11.91 - 16.09,"
</"
BONA,Consumer Services,Movies/Entertainment,31.05,0.68,0.162,N/A,1.58,2.1,12.30M,59.18M,295.30M,3.98 - 6.50,"
</"
BONT,Consumer Services,Department/Specialty Retail Stores,N/A,8.22,N/A,1.59,6.24,0.09,161.80M,20.11M,263.40M,3.50 - 14.99,"
</"
BOOM,Capital Goods,Industrial Specialties,18.26,N/A,0.91,0.96,1.44,1.1,29.50M,13.51M,229.40M,12.18 - 24.53,"
</"
BOSC,Technology,Computer Communications Equipment,N/A,N/A,N/A,N/A,1.57,0.18,90.00K,1.11M,4.70M,0.37 - 8.20,"
</"
BOTA,,,N/A,N/A,N/A,28.05,12.04,30.7,N/A,182.10M,719.30M,0.00 - 0.00,"
</"
BOTJ,,,12.4,N/A,0.638,N/A,0.91,1.58,N/A,3.35M,26.30M,4.61 - 7.97,"
</"
BOVA,Finance,Regional - Mid-Atlantic Banks,N/A,N/A,N/A,N/A,0.71,1.72,N/A,3.09M,12.50M,0.69 - 3.90,"
</"
BPAX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,1.05,76.05,N/A,24.49M,34.78M,1.08 - 7.38,"
</"
BPFH,Finance,Major Banks,15.09,0.83,0.613,0.43,1.34,2.45,N/A,78.74M,744.90M,7.65 - 10.75,"
</"
BPFHW,Finance,Major Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.18 - 5.51,"
</"
BPHX,Technology,EDP Services,N/A,N/A,N/A,N/A,2.96,2.46,N/A,10.62M,44.80M,1.15 - 4.48,"
</"
BPOP,Finance,Major Banks,11.42,1.53,2.35,N/A,0.68,1.94,N/A,103.16M,2.81B,13.38 - 26.90,"
</"
BPOPM,Finance,Major Banks,N/A,N/A,N/A,6.77,N/A,N/A,N/A,N/A,N/A,17.40 - 24.50,"
</"
BPOPN,Finance,Major Banks,N/A,N/A,N/A,7.02,N/A,N/A,N/A,N/A,N/A,18.55 - 24.55,"
</"
BRCD,Technology,Computer peripheral equipment,13.95,0.9,0.41,N/A,1.17,1.17,469.90M,456.25M,2.56B,4.18 - 6.44,"
</"
BRCM,Technology,Semiconductors,25.96,0.87,1.25,1.23,2.34,2.29,1.30B,566.00M,18.73B,28.60 - 39.66,"
</"
BREW,,,51.31,N/A,0.13,N/A,1.17,0.78,12.00M,18.88M,131.40M,0.00 - 0.00,"
</"
BRID,Consumer Non-Durables,Specialty Foods,16.33,N/A,0.398,0.77,2.96,0.47,5.00M,9.15M,59.50M,6.04 - 11.00,"
</"
BRKL,Finance,Savings Institutions,16.62,2.26,0.53,2.89,1.01,3.44,N/A,70.38M,628.50M,7.54 - 9.78,"
</"
BRKR,Capital Goods,Biotechnology: Laboratory Analytical Instruments,27.21,1.6,0.62,N/A,4.04,1.6,239.00M,165.97M,2.76B,9.91 - 17.35,"
</"
BRKS,Technology,Industrial Machinery/Components,4.5,6.5,2.08,3.42,0.92,1.15,43.20M,63.60M,615.60M,7.00 - 12.65,"
</"
BRLI,Health Care,Medical Specialities,18.38,0.95,1.51,N/A,3.38,1.16,92.80M,27.71M,744.30M,18.29 - 32.86,"
</"
BSDM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,3.67,22.26,N/A,29.73M,44.60M,0.76 - 2.52,"
</"
BSET,Consumer Durables,Home Furnishings,5.78,N/A,2.41,10.42,0.95,0.56,11.60M,10.76M,150.50M,7.97 - 14.26,"
</"
BSFT,Technology,Computer Software: Prepackaged Software,76.86,1.91,0.442,N/A,6.25,5.92,31.00M,27.83M,973.60M,20.13 - 45.32,"
</"
BSPM,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,0.18,0.19,N/A,10.00M,10.80M,0.91 - 3.42,"
</"
BSQR,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,1.35,0.38,1.40M,11.04M,37.00M,2.35 - 4.52,"
</"
BSRR,Finance,Major Banks,21.48,1.92,0.58,1.93,1.01,3.23,N/A,14.10M,181.50M,8.42 - 13.00,"
</"
BSTC,Consumer Durables,Major Pharmaceuticals,54.08,0.76,0.282,N/A,5.84,9.51,4.40M,6.39M,99.10M,12.52 - 21.99,"
</"
BTFG,Finance,Major Banks,N/A,N/A,N/A,N/A,1.17,1.51,N/A,17.97M,52.30M,1.15 - 3.21,"
</"
BTUI,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.81,0.46,N/A,9.53M,28.10M,1.89 - 3.29,"
</"
BUR,,,N/A,N/A,N/A,N/A,18.7,N/A,N/A,30.18M,136.10M,0.00 - 0.00,"
</"
BUSE,Finance,Major Banks,20.64,16.81,0.22,4.41,0.96,2.58,N/A,86.66M,394.30M,4.09 - 5.30,"
</"
BV,,,N/A,N/A,N/A,N/A,2.09,4.05,N/A,69.85M,547.60M,6.37 - 21.10,"
</"
BVSN,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,0.82,2.57,N/A,4.67M,39.10M,7.81 - 56.46,"
</"
BWEN,Capital Goods,Metal Fabrications,N/A,N/A,N/A,N/A,0.31,0.15,25.00K,14.11M,36.40M,1.70 - 8.60,"
</"
BWINA,Finance,Property-Casualty Insurers,11.79,N/A,2.205,3.85,1.12,1.45,40.10M,14.89M,387.36M,20.51 - 25.80,"
</"
BWINB,Finance,Property-Casualty Insurers,11.2,2.47,2.205,4.05,1.07,1.37,40.10M,14.89M,371.60M,20.37 - 24.92,"
</"
BWLD,Consumer Services,Restaurants,25.37,1.14,2.899,N/A,3.74,1.43,143.00M,18.60M,1.40B,68.08 - 94.81,"
</"
BYFC,Finance,Savings Institutions,N/A,N/A,N/A,N/A,1.82,0.16,N/A,1.88M,1.90M,0.63 - 3.20,"
</"
CA,Technology,Computer Software: Prepackaged Software,12.62,1.3,1.967,4.03,2.07,2.42,1.69B,455.93M,11.41B,21.48 - 28.00,"
</"
CAAS,Capital Goods,Auto Parts:O.E.M.,7.72,N/A,0.714,N/A,0.83,0.45,44.40M,28.04M,158.40M,3.51 - 7.59,"
</"
CAC,Finance,Major Banks,11.07,N/A,3.05,2.96,1.1,2.76,N/A,7.62M,267.50M,30.63 - 40.43,"
</"
CACB,Finance,Major Banks,N/A,9.91,N/A,N/A,2.34,6.9,N/A,47.15M,332.90M,4.23 - 7.06,"
</"
CACC,Finance,Finance: Consumer Services,12.3,N/A,8.093,N/A,4.15,4.95,N/A,24.91M,2.50B,80.00 - 107.09,"
</"
CACGU,,,N/A,N/A,N/A,N/A,1004,N/A,N/A,9.75M,97.50M,0.00 - 0.00,"
</"
CACH,Consumer Services,Clothing/Shoe/Accessory Stores,N/A,N/A,N/A,N/A,0.71,0.14,1.70M,12.92M,37.20M,2.00 - 7.88,"
</"
CADC,Basic Industries,Engineering & Construction,N/A,N/A,N/A,N/A,0.14,0.08,N/A,17.90M,9.49M,0.36 - 2.45,"
</"
CADX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,6.06,10.4,N/A,85.55M,417.50M,2.56 - 5.66,"
</"
